Method,Nodes,Edges,Density,Avg_Degree
Expert,22,43,0.09307359307359307,3.909090909090909
Pc,13,12,0.07692307692307693,1.8461538461538463
Hill_Climb,22,43,0.09307359307359307,3.909090909090909
