,sexo,a0104,a0107,a0109,a0202,a0203,a0204,a0205,a0206,a0207,a0301,a0306e,a0401,a0406e,a0410a,a0410b,a0410c,a0604,a0701p,a0702p,a0703p,a1210,estrato,x_region
count,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0,5569.0
mean,0.5975938229484647,0.5279224277249057,0.16558179206320703,0.9586999461303645,0.49542108098401866,0.40050278326449984,0.001616089064463997,0.9856347638714311,0.49887771592745556,0.07354674415187971,0.8724187466331478,0.02908960316035195,0.7956545160711079,0.0023343508708924404,0.9657029987430419,0.996767821871072,0.9953312982582151,0.8295923864248519,0.13761447297539953,0.14744568145088885,0.1505656311725624,0.24530885257676424,0.6041479619321243,0.30291943496737894
std,0.4904269920788806,0.1833555432142199,0.12758886284751442,0.1990011820968182,0.05706739683117682,0.04254517588604449,0.040171720120220814,0.11900176058000676,0.03398382635023263,0.028444530869466255,0.3325071080723171,0.16807281338070498,0.40147331919035056,0.03376955967557445,0.18200732228777258,0.056765392352909526,0.06817433196798087,0.37602426561703123,0.18885172872979214,0.21197716691224225,0.18782931724762642,0.10338911126702947,0.40925758539919943,0.3673301612058902
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.4444444444444444,0.125,1.0,0.5,0.4,0.0,1.0,0.5,0.0727272727272727,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,0.25,0.0,0.0416666666666666
50%,1.0,0.5555555555555556,0.25,1.0,0.5,0.4,0.0,1.0,0.5,0.0727272727272727,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,0.25,0.5,0.0833333333333333
75%,1.0,0.6666666666666666,0.25,1.0,0.5,0.4,0.0,1.0,0.5,0.0727272727272727,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,0.25,1.0,0.4166666666666667
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
