Rk,Player,Pos,Squad,Age,Born,90s,StandardGls,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardDist,StandardFK,StandardPK,StandardPKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches,ID
183,Ivan Ilić,MF,rs Serbia,22,2001,2.2,0,2,0,0.0,0.9,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,IvMFrs222001
184,Josip Iličić,FW/MF,si Slovenia,36,1988,0.3,0,1,0,0.0,2.9,0.0,0.0,,27.4,1,0,0,0.0,0.0,0.05,0.0,0.0,Matches,JoFWsi361988
185,Gonçalo Inácio,DF,pt Portugal,22,2001,1.3,0,1,0,0.0,0.76,0.0,0.0,,9.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,GoDFpt222001
186,Luka Ivanušec,MF,hr Croatia,25,1998,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,LuMFhr251998
187,Erik Janža,DF,si Slovenia,30,1993,3.0,1,3,1,33.3,1.0,0.33,0.33,1.0,27.2,0,0,0,0.0,0.0,0.01,1.0,1.0,Matches,ErDFsi301993
188,Jorginho,MF,it Italy,32,1991,2.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,JoMFit321991
189,Joselu,FW,es Spain,33,1990,1.0,0,3,0,0.0,3.0,0.0,0.0,,12.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,JoFWes331990
190,Diogo Jota,FW/MF,pt Portugal,27,1996,1.1,0,2,1,50.0,1.8,0.9,0.0,0.0,8.6,0,0,0,0.7,0.7,0.33,-0.7,-0.7,Matches,DiFWpt271996
191,Luka Jović,MF/FW,rs Serbia,26,1997,1.1,1,1,1,100.0,0.88,0.88,1.0,1.0,6.0,0,0,0,0.2,0.2,0.19,0.8,0.8,Matches,LuMFrs261997
192,Josip Juranović,DF,hr Croatia,28,1995,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,JoDFhr281995
193,David Jurásek,DF,cz Czechia,23,2000,1.8,0,4,2,50.0,2.25,1.13,0.0,0.0,25.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,DaDFcz232000
194,Matěj Jurásek,DF/MF,cz Czechia,20,2003,0.5,0,4,2,50.0,7.83,3.91,0.0,0.0,25.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,MaDFcz202003
195,Ferdi Kadioglu,DF/MF,tr Türkiye,24,1999,5.0,0,2,0,0.0,0.4,0.0,0.0,,29.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,FeDFtr241999
196,İrfan Kahveci,FW,tr Türkiye,28,1995,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,İrFWtr281995
197,Otar Kakabadze,DF/MF,ge Georgia,28,1995,4.0,0,1,0,0.0,0.25,0.0,0.0,,22.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,OtDFge281995
198,Harry Kane,FW,eng England,30,1993,6.7,3,17,5,29.4,2.55,0.75,0.12,0.4,15.9,0,1,1,2.8,2.1,0.12,0.2,-0.1,Matches,HaFWen301993
199,N'Golo Kanté,MF,fr France,32,1991,5.7,0,5,2,40.0,0.88,0.35,0.0,0.0,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,N'MFfr321991
200,Žan Karničnik,DF,si Slovenia,29,1994,4.3,1,3,1,33.3,0.69,0.23,0.33,1.0,21.3,0,0,0,0.5,0.5,0.18,0.5,0.5,Matches,ŽaDFsi291994
201,Guram Kashia,DF,ge Georgia,36,1987,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,GuDFge361987
202,Milos Kerkez,DF,hu Hungary,20,2003,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,MiDFhu202003
203,Semih Kılıçsoy,FW,tr Türkiye,18,2005,0.0,0,1,1,100.0,45.0,45.0,0.0,0.0,8.5,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches,SeFWtr182005
