Rk,Player,Pos,Squad,Age,Born,90s,StandardGls,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardDist,StandardFK,StandardPK,StandardPKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches,ID
297,Pedro Neto,DF/FW,pt Portugal,23,2000,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,PeDFpt232000
298,Manuel Neuer,GK,de Germany,37,1986,5.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,MaGKde371986
299,João Neves,MF,pt Portugal,19,2004,0.9,0,1,0,0.0,1.17,0.0,0.0,,21.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,JoMFpt192004
300,Rúben Neves,MF,pt Portugal,26,1997,1.4,0,2,0,0.0,1.44,0.0,0.0,,30.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,RúMFpt261997
301,Florin Niță,GK,ro Romania,36,1987,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,FlGKro361987
302,Matheus Nunes,MF,pt Portugal,25,1998,0.2,0,1,0,0.0,5.0,0.0,0.0,,9.5,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches,MaMFpt251998
303,Christian Nørgaard,MF,dk Denmark,29,1994,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ChMFdk291994
304,Adam Obert,DF,sk Slovakia,21,2002,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,AdDFsk212002
305,Jan Oblak,GK,si Slovenia,31,1993,4.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,JaGKsi311993
306,Darius Olaru,MF,ro Romania,25,1998,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,DaMFro251998
307,Dani Olmo,MF/FW,es Spain,25,1998,4.8,3,17,6,35.3,3.54,1.25,0.18,0.5,21.0,0,0,0,1.7,1.7,0.1,1.3,1.3,Matches,DaMFes251998
308,Amadou Onana,MF,be Belgium,22,2001,4.0,0,3,1,33.3,0.75,0.25,0.0,0.0,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,AmMFbe222001
309,Loïs Openda,FW,be Belgium,23,2000,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,LoFWbe232000
310,Willi Orban,DF,hu Hungary,31,1992,3.0,0,3,1,33.3,1.0,0.33,0.0,0.0,7.8,0,0,0,0.6,0.6,0.2,-0.6,-0.6,Matches,WiDFhu311992
311,Mikel Oyarzabal,FW,es Spain,26,1997,2.2,1,6,3,50.0,2.69,1.34,0.17,0.33,18.2,0,0,0,0.9,0.9,0.15,0.1,0.1,Matches,MiFWes261997
312,Salih Özcan,MF,tr Türkiye,26,1998,1.7,0,1,0,0.0,0.58,0.0,0.0,,30.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,SaMFtr261998
313,João Palhinha,MF,pt Portugal,28,1995,3.3,0,5,2,40.0,1.51,0.6,0.0,0.0,21.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,JoMFpt281995
314,Cole Palmer,MF/FW,eng England,21,2002,1.7,1,3,2,66.7,1.81,1.21,0.33,0.5,19.1,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches,CoMFen212002
315,Mario Pašalić,FW/MF,hr Croatia,28,1995,1.3,0,3,0,0.0,2.33,0.0,0.0,,7.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches,MaFWhr281995
316,Strahinja Pavlović,DF,rs Serbia,22,2001,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,StDFrs222001
317,Pedri,MF,es Spain,21,2002,2.1,0,6,4,66.7,2.9,1.94,0.0,0.0,16.1,0,0,0,1.1,1.1,0.18,-1.1,-1.1,Matches,PeMFes212002
318,Peter Pekarík,DF,sk Slovakia,37,1986,4.2,0,3,0,0.0,0.72,0.0,0.0,,17.8,0,0,0,0.7,0.7,0.23,-0.7,-0.7,Matches,PeDFsk371986
319,Lorenzo Pellegrini,FW/MF,it Italy,27,1996,2.4,0,7,1,14.3,2.89,0.41,0.0,0.0,17.5,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,LoFWit271996
320,Patrick Pentz,GK,at Austria,27,1997,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,PaGKat271997
321,Pepe,DF,pt Portugal,40,1983,4.5,0,1,0,0.0,0.22,0.0,0.0,,10.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,PeDFpt401983
322,Danilo Pereira,DF,pt Portugal,32,1991,1.0,0,1,0,0.0,1.0,0.0,0.0,,4.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,DaDFpt321991
323,Ayoze Pérez,FW,es Spain,30,1993,0.1,0,3,2,66.7,20.77,13.85,0.0,0.0,12.5,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches,AyFWes301993
324,Ivan Perišić,DF/FW,hr Croatia,34,1989,1.5,0,4,2,50.0,2.59,1.29,0.0,0.0,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,IvDFhr341989
325,Bruno Petković,FW,hr Croatia,29,1994,1.0,0,3,0,0.0,3.1,0.0,0.0,,14.2,0,0,1,1.1,0.3,0.1,-1.1,-0.3,Matches,BrFWhr291994
326,Krzysztof Piątek,FW,pl Poland,28,1995,0.7,1,2,1,50.0,3.05,1.53,0.5,1.0,16.9,0,0,0,0.5,0.5,0.27,0.5,0.5,Matches,KrFWpl281995
327,Jordan Pickford,GK,eng England,29,1994,7.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,JoGKen291994
328,Jakub Piotrowski,MF,pl Poland,26,1997,0.6,0,2,0,0.0,3.1,0.0,0.0,,7.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,JaMFpl261997
329,Marin Pongračić,DF,hr Croatia,26,1997,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,MaDFhr261997
330,Ryan Porteous,DF,sct Scotland,24,1999,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,RyDFsc241999
331,Stefan Posch,DF,at Austria,26,1997,4.0,0,7,3,42.9,1.75,0.75,0.0,0.0,21.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,StDFat261997
332,Yussuf Poulsen,FW/MF,dk Denmark,29,1994,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,YuFWdk291994
333,Alexander Prass,DF,at Austria,22,2001,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,AlDFat222001
334,Lukáš Provod,MF,cz Czechia,27,1996,2.6,1,3,3,100.0,1.16,1.16,0.33,0.33,25.7,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches,LuMFcz271996
335,George Pușcaș,FW,ro Romania,27,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,GeFWro271996
336,Leopold Querfeld,DF,at Austria,20,2003,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,LeDFat202003
337,Adrien Rabiot,MF,fr France,28,1995,4.1,0,3,0,0.0,0.73,0.0,0.0,,19.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches,AdMFfr281995
338,Bogdan Racovitan,DF,ro Romania,23,2000,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,BoDFro232000
339,Predrag Rajković,GK,rs Serbia,28,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,PrGKrs281995
340,Anthony Ralston,DF,sct Scotland,25,1998,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,AnDFsc251998
341,Ylber Ramadani,MF,al Albania,27,1996,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,YlMFal271996
342,Gonçalo Ramos,FW,pt Portugal,22,2001,0.3,0,1,0,0.0,3.6,0.0,0.0,,5.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,GoFWpt222001
343,Giacomo Raspadori,FW,it Italy,23,2000,0.9,0,1,0,0.0,1.08,0.0,0.0,,29.3,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,GiFWit232000
344,Andrei Ratiu,DF,ro Romania,25,1998,4.0,0,3,3,100.0,0.75,0.75,0.0,0.0,18.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,AnDFro251998
345,David Raum,DF,de Germany,25,1998,1.8,0,1,0,0.0,0.54,0.0,0.0,,27.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,DaDFde251998
346,David Raya,GK,es Spain,28,1995,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,DaGKes281995
347,Tijjani Reijnders,MF,nl Netherlands,25,1998,5.5,0,10,0,0.0,1.81,0.0,0.0,,21.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,TiMFnl251998
348,Mateo Retegui,FW,it Italy,24,1999,1.7,0,4,1,25.0,2.37,0.59,0.0,0.0,15.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,MaFWit241999
349,Declan Rice,MF,eng England,25,1999,7.7,0,9,3,33.3,1.17,0.39,0.0,0.0,20.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,DeMFen251999
350,Fabian Rieder,MF,ch Switzerland,21,2002,2.4,0,1,1,100.0,0.41,0.41,0.0,0.0,28.1,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches,FaMFch212002
351,Andrew Robertson,DF,sct Scotland,29,1994,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,AnDFsc291994
352,Rodri,MF,es Spain,27,1996,5.8,1,5,1,20.0,0.87,0.17,0.2,1.0,24.2,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches,RoMFes271996
353,Ricardo Rodríguez,DF,ch Switzerland,31,1992,5.3,0,3,0,0.0,0.56,0.0,0.0,,27.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,RiDFch311992
354,Taras Romanchuk,MF,pl Poland,32,1991,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,TaMFpl321991
355,Cristiano Ronaldo,FW,pt Portugal,38,1985,5.4,0,22,9,40.9,4.08,1.67,0.0,0.0,17.3,7,0,1,3.6,2.8,0.13,-3.6,-2.8,Matches,CrFWpt381985
356,Antonio Rüdiger,DF,de Germany,30,1993,5.3,0,4,1,25.0,0.75,0.19,0.0,0.0,21.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,AnDFde301993
357,Fabián Ruiz Peña,MF,es Spain,27,1996,6.0,2,17,6,35.3,2.83,1.0,0.12,0.33,21.2,0,0,0,1.7,1.7,0.1,0.3,0.3,Matches,FaMFes271996
358,Adrian Rus,MF,ro Romania,27,1996,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,AdMFro271996
359,Marcel Sabitzer,FW/MF,at Austria,29,1994,4.0,1,12,3,25.0,3.0,0.75,0.08,0.33,20.7,2,0,0,0.9,0.9,0.07,0.1,0.1,Matches,MaFWat291994
360,Bukayo Saka,FW/DF,eng England,22,2001,7.0,1,8,1,12.5,1.14,0.14,0.13,1.0,18.2,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches,BuFWen222001
361,Bartosz Salamon,DF,pl Poland,32,1991,0.9,0,1,0,0.0,1.06,0.0,0.0,,62.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,BaDFpl321991
362,William Saliba,DF,fr France,22,2001,6.3,0,2,0,0.0,0.32,0.0,0.0,,15.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,WiDFfr222001
363,Roland Sallai,MF,hu Hungary,26,1997,3.0,0,8,2,25.0,2.71,0.68,0.0,0.0,17.6,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,RoMFhu261997
364,Lazar Samardzic,MF,rs Serbia,21,2002,0.6,0,1,0,0.0,1.67,0.0,0.0,,20.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,LaMFrs212002
365,Leroy Sané,FW,de Germany,28,1996,2.3,0,7,3,42.9,3.03,1.3,0.0,0.0,21.7,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,LeFWde281996
366,Leo Sauer,FW,sk Slovakia,18,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,LeFWsk182005
367,Gianluca Scamacca,FW,it Italy,25,1999,2.8,0,6,1,16.7,2.15,0.36,0.0,0.0,18.0,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches,GiFWit251999
368,András Schäfer,MF,hu Hungary,24,1999,3.0,0,2,1,50.0,0.67,0.33,0.0,0.0,21.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,AnMFhu241999
369,Fabian Schär,DF,ch Switzerland,32,1991,5.3,0,5,0,0.0,0.94,0.0,0.0,,17.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,FaDFch321991
370,Patrik Schick,FW,cz Czechia,28,1996,1.4,1,7,4,57.1,4.96,2.83,0.14,0.25,11.4,0,0,0,1.5,1.5,0.21,-0.5,-0.5,Matches,PaFWcz281996
371,Nico Schlotterbeck,DF,de Germany,24,1999,1.3,0,2,1,50.0,1.5,0.75,0.0,0.0,9.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,NiDFde241999
372,Kasper Schmeichel,GK,dk Denmark,37,1986,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,KaGKdk371986
373,Romano Schmid,FW/MF,at Austria,24,2000,1.6,1,1,1,100.0,0.62,0.62,1.0,1.0,10.1,0,0,0,0.1,0.1,0.13,0.9,0.9,Matches,RoFWat242000
374,Jerdy Schouten,MF,nl Netherlands,27,1997,5.6,0,1,0,0.0,0.18,0.0,0.0,,14.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,JeMFnl271997
375,Ivan Schranz,FW,sk Slovakia,30,1993,3.7,3,5,4,80.0,1.36,1.09,0.6,0.75,10.3,0,0,0,1.0,1.0,0.21,2.0,2.0,Matches,IvFWsk301993
376,Taulant Seferi,FW,al Albania,27,1996,1.0,0,1,1,100.0,0.96,0.96,0.0,0.0,29.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,TaFWal271996
377,Nicolas Seiwald,MF,at Austria,22,2001,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,28.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,NiMFat222001
378,Nélson Semedo,DF,pt Portugal,30,1993,1.1,0,2,1,50.0,1.8,0.9,0.0,0.0,17.4,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches,NéDFpt301993
379,Benjamin Šeško,FW,si Slovenia,20,2003,4.0,0,8,4,50.0,2.01,1.01,0.0,0.0,22.4,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches,BeFWsi202003
380,Petr Ševčík,MF,cz Czechia,29,1994,0.2,0,1,0,0.0,4.09,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,PeMFcz291994
381,Stephan El Shaarawy,FW,it Italy,31,1992,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,StFWit311992
382,Lawrence Shankland,FW,sct Scotland,28,1995,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,LaFWsc281995
383,Mykola Shaparenko,MF,ua Ukraine,25,1998,2.4,1,1,1,100.0,0.41,0.41,1.0,1.0,11.9,0,0,0,0.2,0.2,0.22,0.8,0.8,Matches,MyMFua251998
384,Xherdan Shaqiri,MF/FW,ch Switzerland,32,1991,0.8,1,1,1,100.0,1.27,1.27,1.0,1.0,23.4,0,0,0,0.1,0.1,0.07,0.9,0.9,Matches,XhMFch321991
385,Luke Shaw,DF,eng England,28,1995,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,LuDFen281995
386,Vincent Sierro,MF,ch Switzerland,28,1995,0.4,0,1,0,0.0,2.37,0.0,0.0,,31.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,ViMFch281995
387,António Silva,DF,pt Portugal,20,2003,0.8,0,1,0,0.0,1.23,0.0,0.0,,3.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,AnDFpt202003
388,Bernardo Silva,FW/MF,pt Portugal,29,1994,4.7,1,7,2,28.6,1.5,0.43,0.14,0.5,14.5,0,0,0,0.7,0.7,0.1,0.3,0.3,Matches,BeFWpt291994
389,Unai Simón,GK,es Spain,26,1997,6.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,UnGKes261997
390,Xavi Simons,MF/FW,nl Netherlands,20,2003,5.0,1,10,4,40.0,1.98,0.79,0.1,0.25,24.3,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches,XaMFnl202003
391,Michał Skóraś,DF,pl Poland,23,2000,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,MiDFpl232000
392,Łukasz Skorupski,GK,pl Poland,32,1991,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ŁuGKpl321991
393,Andreas Skov Olsen,MF/FW,dk Denmark,24,1999,1.4,0,1,0,0.0,0.74,0.0,0.0,,17.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,AnMFdk241999
394,Milan Škriniar,DF,sk Slovakia,28,1995,4.3,0,3,0,0.0,0.69,0.0,0.0,,17.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,MiDFsk281995
395,Bartosz Slisz,MF,pl Poland,24,1999,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,BaMFpl241999
396,Yann Sommer,GK,ch Switzerland,35,1988,5.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,YaGKch351988
397,Deian Sorescu,MF/DF,ro Romania,26,1997,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,DeMFro261997
398,Borna Sosa,DF,hr Croatia,26,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,BoDFhr261998
399,Tomáš Souček,MF,cz Czechia,28,1995,3.0,1,2,1,50.0,0.67,0.33,0.5,1.0,13.8,0,0,0,0.6,0.6,0.28,0.4,0.4,Matches,ToMFcz281995
400,Andraž Šporar,FW,si Slovenia,29,1994,3.8,0,7,1,14.3,1.86,0.27,0.0,0.0,14.5,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches,AnFWsi291994
401,Nicolae Stanciu,MF/FW,ro Romania,30,1993,3.9,1,4,2,50.0,1.02,0.51,0.25,0.5,25.9,1,0,0,0.2,0.2,0.05,0.8,0.8,Matches,NiMFro301993
402,Jindřich Staněk,GK,cz Czechia,27,1996,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,JiGKcz271996
403,Josip Stanišić,DF,hr Croatia,23,2000,2.0,0,1,0,0.0,0.5,0.0,0.0,,8.7,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches,JoDFhr232000
404,Renato Steffen,DF,ch Switzerland,32,1991,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ReDFch321991
405,Taras Stepanenko,MF,ua Ukraine,34,1989,0.9,0,1,0,0.0,1.1,0.0,0.0,,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,TaMFua341989
406,Leonidas Stergiou,DF,ch Switzerland,21,2002,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,LeDFch212002
407,Petar Stojanović,MF,si Slovenia,28,1995,3.5,0,1,0,0.0,0.28,0.0,0.0,,28.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,PeMFsi281995
408,John Stones,DF,eng England,29,1994,7.7,0,1,0,0.0,0.13,0.0,0.0,,10.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,JoDFen291994
409,Thomas Strakosha,GK,al Albania,28,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ThGKal281995
410,Dávid Strelec,FW,sk Slovakia,22,2001,2.0,0,7,1,14.3,3.46,0.49,0.0,0.0,21.0,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches,DáFWsk222001
411,Callum Styles,MF,hu Hungary,23,2000,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,CaMFhu232000
412,Luka Sučić,FW/MF,hr Croatia,21,2002,1.6,0,3,2,66.7,1.93,1.29,0.0,0.0,18.0,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches,LuFWhr212002
413,Heorhiy Sudakov,MF,ua Ukraine,21,2002,2.9,0,9,4,44.4,3.09,1.37,0.0,0.0,23.9,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,HeMFua212002
414,Pavel Šulc,MF,cz Czechia,23,2000,0.9,0,1,0,0.0,1.15,0.0,0.0,,17.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,PaMFcz232000
415,Tomáš Suslov,FW/MF,sk Slovakia,21,2002,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ToFWsk212002
416,Josip Šutalo,DF,hr Croatia,23,2000,3.0,0,1,0,0.0,0.33,0.0,0.0,,1.4,0,0,0,0.6,0.6,0.61,-0.6,-0.6,Matches,JoDFhr232000
417,Oleksandr Svatok,DF,ua Ukraine,29,1994,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,OlDFua291994
418,Karol Świderski,FW,pl Poland,27,1997,1.0,0,2,2,100.0,2.0,2.0,0.0,0.0,15.0,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches,KaFWpl271997
419,Serhiy Sydorchuk,MF,ua Ukraine,32,1991,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,SeMFua321991
420,Attila Szalai,DF,hu Hungary,26,1998,1.1,0,1,0,0.0,0.95,0.0,0.0,,12.6,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,AtDFhu261998
421,Wojciech Szczęsny,GK,pl Poland,33,1990,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,WoGKpl331990
422,Dominik Szoboszlai,MF,hu Hungary,23,2000,3.0,0,6,2,33.3,2.0,0.67,0.0,0.0,22.1,2,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,DoMFhu232000
423,Sebastian Szymański,MF,pl Poland,24,1999,1.2,0,1,0,0.0,0.8,0.0,0.0,,17.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,SeMFpl241999
424,Dušan Tadić,MF,rs Serbia,35,1988,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,DuMFrs351988
425,Jonathan Tah,DF,de Germany,27,1996,3.5,0,1,0,0.0,0.28,0.0,0.0,,11.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,JoDFde271996
426,Maksym Talovierov,MF,ua Ukraine,23,2000,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,MaMFua232000
427,Aurélien Tchouaméni,MF,fr France,24,2000,5.2,0,12,2,16.7,2.3,0.38,0.0,0.0,25.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,AuMFfr242000
428,Arthur Theate,DF,be Belgium,23,2000,2.8,0,2,0,0.0,0.7,0.0,0.0,,30.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,ArDFbe232000
429,Marcus Thuram,FW,fr France,26,1997,2.9,0,12,2,16.7,4.15,0.69,0.0,0.0,13.8,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,MaFWfr261997
430,Youri Tielemans,MF,be Belgium,26,1997,1.6,1,4,1,25.0,2.43,0.61,0.25,1.0,24.2,0,0,0,0.1,0.1,0.03,0.9,0.9,Matches,YoMFbe261997
431,Kieran Tierney,DF,sct Scotland,26,1997,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,KiDFsc261997
432,Ivan Toney,FW/MF,eng England,27,1996,0.5,0,1,0,0.0,2.0,0.0,0.0,,21.9,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,IvFWen271996
433,Ferrán Torres,FW/MF,es Spain,23,2000,1.7,1,5,1,20.0,2.9,0.58,0.2,1.0,13.8,0,0,0,0.6,0.6,0.13,0.4,0.4,Matches,FeFWes232000
434,Cenk Tosun,FW,tr Türkiye,32,1991,0.3,1,3,1,33.3,10.8,3.6,0.33,1.0,12.7,0,0,0,0.3,0.3,0.11,0.7,0.7,Matches,CeFWtr321991
435,Gernot Trauner,DF,at Austria,31,1992,1.0,1,1,1,100.0,1.0,1.0,1.0,1.0,5.9,0,0,0,0.1,0.1,0.08,0.9,0.9,Matches,GeDFat311992
436,Kieran Trippier,DF,eng England,33,1990,5.0,0,1,0,0.0,0.2,0.0,0.0,,17.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,KiDFen331990
437,Leandro Trossard,FW,be Belgium,29,1994,1.9,0,4,1,25.0,2.13,0.53,0.0,0.0,22.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,LeFWbe291994
438,Anatolii Trubin,GK,ua Ukraine,22,2001,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,AnGKua222001
439,Heorhii Tsitaishvili,DF/MF,ge Georgia,23,2000,2.1,0,3,2,66.7,1.42,0.95,0.0,0.0,15.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,HeDFge232000
440,Viktor Tsyhankov,FW,ua Ukraine,26,1997,0.7,0,2,0,0.0,2.9,0.0,0.0,,20.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,ViFWua261997
441,Ľubomír Tupta,MF,sk Slovakia,25,1998,0.1,0,1,0,0.0,7.5,0.0,0.0,,30.8,1,0,0,0.0,0.0,0.05,0.0,0.0,Matches,ĽuMFsk251998
442,Oleksandr Tymchyk,DF,ua Ukraine,27,1997,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,OlDFua271997
443,Deniz Undav,MF,de Germany,27,1996,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,DeMFde271996
444,Dayot Upamecano,DF,fr France,25,1998,6.3,0,3,0,0.0,0.47,0.0,0.0,,8.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,DaDFfr251998
