gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
8653,254.6046690659605,-0.6905460459694269,0.0245706034315969,-28.10456193686354,8.61599218295255e-174,1.4517085229056751e-169
8284,192.20132310738344,-0.7689291975465253,0.029200125801040887,-26.3330782471874,8.020173622086722e-153,6.756595267926959e-149
101927682,130.1029642750844,-2.02794150268281,0.15709819151312027,-12.90875141941684,4.017627113952504e-38,2.2564333080995244e-34
53834,1013.6122304960227,-1.0409438203554946,0.08206436936158575,-12.684479615860662,7.2091056315988814e-37,3.036655519670239e-33
245802,16.40110209369182,-2.561280010399569,0.21614794512140303,-11.849661623944582,2.1606147650558196e-32,7.280839635285101e-29
107984754,118.9137506358529,2.385100579855566,0.20391540432480024,11.696519876725612,1.3278831708647277e-31,3.728917257649966e-28
6192,1334.5794417877025,-0.11345537060974722,0.010013652801863676,-11.330068343155622,9.313204451604693e-30,2.2416883115012495e-26
4802,363.43732272886456,-0.6282155286583129,0.055845247524570464,-11.249220954422563,2.3364658065346914e-29,4.920889046787877e-26
101929243,115.01252893557397,-1.011453872107168,0.09044267716117041,-11.18336944299802,4.9186331827751114e-29,9.208227832953095e-26
56413,27.59121936694889,-1.4253172372719605,0.1297848498330419,-10.982154227596828,4.656843133224823e-28,7.846314995170505e-25
9701,1453.108807780556,-0.6730920037078725,0.0619931464367181,-10.857522845609347,1.8366381379438288e-27,2.8132287260195973e-24
5111,269.76700639435086,0.7360805117788624,0.06789071162883997,10.842138697897745,2.1733005235225706e-27,3.051495043402649e-24
9612,897.603760304059,-0.8460237261097467,0.07946835065282452,-10.64604611974134,1.8192912587793984e-26,2.357941416859545e-23
11130,30.840568007807175,1.3205861536784846,0.1241322931357944,10.638538291029803,1.9719857777734317e-26,2.373284883550325e-23
23048,433.5297317592592,-0.7459656133228441,0.07107848492689336,-10.494956583417542,9.111959538694234e-26,1.0235160417830609e-22
111188157,38.008304451874594,-1.169753487269746,0.11206209745245321,-10.438440060128807,1.655080085198516e-25,1.7429027722193622e-22
23644,226.5462362391245,-0.5382612676690298,0.05188551130193751,-10.37401876097403,3.255394586232943e-25,3.226479022555227e-22
4041,2677.5944940288623,-0.7784448129675148,0.07532267525061678,-10.334800382188236,4.9043211614336245e-25,4.590717069388619e-22
100302183,27.0052478211554,1.2289625903925063,0.1197936048584056,10.258999984557802,1.0781746751761384e-24,9.561139527390923e-22
107987039,6.003851338416106,1.8698851297867491,0.1826457376179649,10.237770419246994,1.3429545475874292e-24,1.0774971986809807e-21
414212,87.55675295590419,-1.3059067236810455,0.12754512469132856,-10.238781974939968,1.3289889778288404e-24,1.0774971986809807e-21
105379193,98.53598028946772,-1.2879143055075832,0.12601873922968204,-10.220022144168794,1.6130402710312321e-24,1.235368887572965e-21
101926943,66.96360739734907,-0.8928721760042462,0.08747321490655462,-10.207378075197974,1.8376338182287312e-24,1.3461866175363432e-21
100616345,11.3873937200344,1.5087319255498917,0.148407835622375,10.16612040208492,2.8087398690371258e-24,1.8929783221362613e-21
124817,112.70823501950889,0.5705553409289872,0.05611925970968418,10.166836552737522,2.78817167250354e-24,1.8929783221362613e-21
51540,286.89610314848574,-0.899506944163472,0.08858874452776551,-10.153738479514724,3.189077069001269e-24,2.0666445975231686e-21
8685,1160.8097133705749,-1.914877167228214,0.18925616518578653,-10.117911695761363,4.6012801440228815e-24,2.87136922765339e-21
6497,923.5758177049037,-0.7913522599406346,0.07845328792247856,-10.08692281606588,6.3117139331809854e-24,3.798073859291658e-21
4784,988.1379109960149,-0.7452501811423924,0.07444131189698625,-10.011244591896611,1.3603031888159837e-23,7.903361527020865e-21
100652768,83.03877596221767,0.7191323455003802,0.0723968485000431,9.933199585337642,2.985197771433074e-23,1.6765865750291952e-20
23654,3742.901842272974,-0.8068433517305743,0.08134139370815062,-9.919222119865479,3.434221197899202e-23,1.8665546117226982e-20
23196,1951.348636013196,-0.3695322843349333,0.03740477352156161,-9.879281427059572,5.1198719985476137e-23,2.6957726032352733e-20
92344,43.62602005957449,0.7663379609375571,0.07830753889568709,9.786260323650197,1.2897825477029066e-22,6.585317014014022e-20
128077,273.5429115037191,-0.7947552272945029,0.08156077640276177,-9.744331311534587,1.9505879921244481e-22,9.666310905677891e-20
3054,451.15938934626854,-0.8511162260510795,0.08804607013120756,-9.666714536863864,4.1756833997803334e-22,2.0101739886542524e-19
100996485,40.453322710043444,0.8540100275680198,0.08838329578810149,9.66257277410773,4.348045884710272e-22,2.0350062530967603e-19
10190,126.83694780619652,0.62992502946943,0.06523740436440126,9.655887379436686,4.641234161335465e-22,2.113517686063277e-19
7412,483.3494010876589,-1.5574337984698785,0.161363721614901,-9.651697313890278,4.834876177512854e-22,2.1437586503924758e-19
6815,456.48936852575594,-0.702427599894538,0.07322363996325157,-9.592907430538311,8.563713837240768e-22,3.699743960094095e-19
25902,59.56718598609197,1.1506890939288912,0.12069085991930173,9.534185891941473,1.5106616450912672e-21,6.36328451453569e-19
10894,658.0423618410292,-1.8605453101535678,0.19579024343720078,-9.502747825891197,2.0442349027324053e-21,8.366202553172896e-19
6712,1335.0037090335757,-0.877339839768397,0.0923450622115855,-9.500668674175488,2.085468023225483e-21,8.366202553172896e-19
3627,190.7814658534056,2.3359611814624173,0.24635949004149807,9.48192083474818,2.4964462943220525e-21,9.782005491402852e-19
64072,349.6558553032378,-1.3023950223526681,0.13780451600679564,-9.451032956629973,3.355032420464385e-21,1.256198694497876e-18
5033,516.5212447465368,-2.1468837835272128,0.22714253212997515,-9.451703137212217,3.33361702244567e-21,1.256198694497876e-18
359845,202.73352732676167,-0.9048834215239064,0.09688858933228284,-9.339421987253594,9.686144566890228e-21,3.547866300163771e-18
105371873,60.538890348094654,2.561873160690204,0.2747304655189827,9.325042113005809,1.1093952780872764e-20,3.9770640511686214e-18
5199,492.5553644358511,-1.2701888116049407,0.13705711623308042,-9.267587459266599,1.9040374639161385e-20,6.6835681728172945e-18
1378,79.24563642846802,-2.462077155002554,0.26695811455482477,-9.222709559169145,2.896856617041334e-20,9.961048396026415e-18
493860,128.13395324075398,0.9364114131430841,0.10185660305393762,9.193428654274014,3.805151503350215e-20,1.2822599535989555e-17
107985285,11.571393426642166,3.008747856452685,0.32823980124683066,9.166310255562696,4.89486651313916e-20,1.6171295270565042e-17
100131378,13.476016180852978,1.193647603398308,0.13031965618157057,9.15938269308533,5.219503192258692e-20,1.6912194093532056e-17
2324,206.1395486011524,-1.2498648274654673,0.1372205075397868,-9.108440493874953,8.357461327346937e-20,2.6568842623484633e-17
100874085,524.8331933352846,-1.2737838897265368,0.14009572947383475,-9.092239246053802,9.701992316140965e-20,3.027201269160354e-17
54797,147.33360930017648,0.6308571215854875,0.06956801719056549,9.068206153661103,1.209924699644567e-19,3.640360940055591e-17
114108587,30.92940328197329,-0.7477700251885283,0.082443860169402,-9.070051106923469,1.1896120500184653e-19,3.640360940055591e-17
9332,1525.0041045035132,-1.6636589767578605,0.18447433615179923,-9.018376276409949,1.908976422222687e-19,5.439777465983071e-17
26790,18.497131306362245,1.138055877419299,0.1262036757784717,9.017612762856096,1.922324740230835e-19,5.439777465983071e-17
875,2626.737227225132,-0.8452738235593865,0.09369436712806423,-9.02160769605329,1.853489119182627e-19,5.439777465983071e-17
442454,130.16428954747875,2.1136003701963477,0.23440765008019265,9.016772146614109,1.9371277105999422e-19,5.439777465983071e-17
5725,1068.0561424503169,-0.5720183312524061,0.06346604944103197,-9.012981527767595,2.0052906199076987e-19,5.538875681118822e-17
105374304,58.09158186991645,-1.5591144530348233,0.17314744637590046,-9.004547775137322,2.1655645662905396e-19,5.885096351198274e-17
1757,3769.476274655637,-0.6658509389979435,0.0739947241269779,-8.99862722449396,2.2855755172173615e-19,6.112644744380211e-17
9578,1050.1596269120653,-0.6954868363301715,0.07733967859943695,-8.9926264102064,2.413916362906229e-19,6.355011999782352e-17
4360,814.257039006339,-1.4116004412049301,0.15724339606495027,-8.977168367833142,2.778245594864493e-19,7.201640004287976e-17
64430,541.3031169147646,0.6352289399591428,0.07078326933441653,8.97428087078028,2.852087536793306e-19,7.281033773853092e-17
55860,283.43731383120013,0.4528011926655592,0.05050248602392176,8.965918874787246,3.0770442962996337e-19,7.738077514679482e-17
4564,130.29575387667958,2.2860771837028344,0.2551592396932496,8.959413683984707,3.2640936136688922e-19,8.087751955398112e-17
28996,1891.48151563401,-0.7369022315795076,0.08239740055101066,-8.943270378090453,3.778198779922007e-19,9.225923368537085e-17
