Rk,Player,Pos,Squad,Age,Born,90s,Att,PassTypesLive,PassTypesDead,PassTypesFK,PassTypesTB,PassTypesSw,PassTypesCrs,PassTypesTI,PassTypesCK,CornerKicksIn,CornerKicksOut,CornerKicksStr,OutcomesCmp,OutcomesOff,OutcomesBlocks,Matches,ID
1,Che Adams,FW,sct Scotland,27,1996,2.3,31,28,3,0,0,1,1,0,0,0,0,0,27,0,0,Matches,ChFWsc271996
2,Michel Aebischer,DF,ch Switzerland,27,1997,5.3,252,219,32,4,3,2,3,28,0,0,0,0,221,1,0,Matches,MiDFch271997
3,Arlind Ajeti,DF,al Albania,30,1993,3.0,112,105,6,6,0,1,0,0,0,0,0,0,93,1,2,Matches,ArDFal301993
4,Manuel Akanji,DF,ch Switzerland,28,1995,5.3,331,304,26,11,0,0,0,0,0,0,0,0,304,1,2,Matches,MaDFch281995
5,Samet Akaydın,DF,tr Türkiye,29,1994,3.7,206,197,9,6,1,0,0,0,0,0,0,0,185,0,0,Matches,SaDFtr291994
6,Nathan Aké,DF,nl Netherlands,28,1995,5.2,274,227,44,11,0,0,1,33,0,0,0,0,239,3,5,Matches,NaDFnl281995
7,Yunus Akgün,FW,tr Türkiye,23,2000,0.8,17,16,1,0,0,0,3,0,1,1,0,0,14,0,1,Matches,YuFWtr232000
8,Kerem Aktürkoğlu,FW/MF,tr Türkiye,25,1998,1.2,38,36,1,0,1,0,3,1,0,0,0,0,22,1,1,Matches,KeFWtr251998
9,Trent Alexander-Arnold,MF/DF,eng England,25,1998,1.5,101,97,4,3,0,3,5,0,1,0,1,0,84,0,2,Matches,TrMFen251998
10,Denis Alibec,FW,ro Romania,33,1991,0.3,4,2,2,0,0,0,0,0,0,0,0,0,4,0,0,Matches,DeFWro331991
11,Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5.0,105,98,7,1,2,1,8,0,1,0,0,0,80,0,1,Matches,BaFWtr232000
12,Sandro Altunashvili,MF,ge Georgia,26,1997,0.6,16,16,0,0,0,0,1,0,0,0,0,0,13,0,0,Matches,SaMFge261997
13,Zeki Amdouni,MF/FW,ch Switzerland,23,2000,0.6,14,13,0,0,0,0,0,0,0,0,0,0,9,1,0,Matches,ZeMFch232000
14,Joachim Andersen,DF,dk Denmark,27,1996,4.0,298,290,7,6,1,5,5,1,0,0,0,0,249,1,2,Matches,JoDFdk271996
15,Robert Andrich,MF,de Germany,29,1994,3.5,232,231,1,1,1,0,1,0,0,0,0,0,208,0,3,Matches,RoMFde291994
16,Waldemar Anton,DF,de Germany,27,1996,0.4,24,23,1,0,0,0,0,1,0,0,0,0,20,0,0,Matches,WaDFde271996
17,Stuart Armstrong,MF,sct Scotland,31,1992,0.2,10,8,2,0,0,0,3,1,1,1,0,0,7,0,0,Matches,StMFsc311992
18,Marko Arnautović,FW,at Austria,34,1989,3.1,54,52,2,1,0,0,2,0,0,0,0,0,39,0,4,Matches,MaFWat341989
19,Jasir Asani,FW,al Albania,28,1995,2.3,38,38,0,0,1,0,4,0,0,0,0,0,31,0,0,Matches,JaFWal281995
20,Kristjan Asllani,MF,al Albania,21,2002,3.0,189,168,20,15,2,6,13,0,5,5,0,0,155,1,3,Matches,KrMFal212002
21,Kaan Ayhan,MF/DF,tr Türkiye,29,1994,4.0,179,169,9,8,2,4,1,1,0,0,0,0,156,1,2,Matches,KaMFtr291994
22,Alex Baena,MF/FW,es Spain,22,2001,0.3,12,11,1,0,0,0,0,0,1,0,0,0,11,0,0,Matches,AlMFes222001
23,Alexander Bah,DF/MF,dk Denmark,26,1997,3.1,164,145,19,0,0,1,6,19,0,0,0,0,127,0,4,Matches,AlDFdk261997
24,Nedim Bajrami,FW/MF,al Albania,24,1999,2.7,80,75,4,0,1,0,4,0,1,1,0,0,61,1,1,Matches,NeFWal241999
