ID,Player,Pos,Squad,Age,Born,PlayingTimeMP,PlayingTimeMin,PlayingTimeMn/MP,PlayingTimeMin%,PlayingTime90s,Starts,StartsMn/Start,StartsCompl,Subs,SubsMn/Sub,SubsunSub,TeamSuccessPPM,TeamSuccessonG,TeamSuccessonGA,TeamSuccess+/-,TeamSuccess+/-90,TeamSuccessOn-Off,TeamSuccess(xG)onxG,TeamSuccess(xG)onxGA,TeamSuccess(xG)xG+/-,TeamSuccess(xG)xG+/-90,TeamSuccess(xG)On-Off,Matches
KaMFtr291994,Kaan Ayhan,MF/DF,tr Türkiye,29,1994,5,358.0,72.0,79.6,4.0,4,78.0,1,1,45.0,0,1.8,7.0,8.0,-1.0,-0.25,-1.23,5.8,7.7,-1.9,-0.47,-0.74,Matches
SrDFrs271996,Srđan Babić,DF,rs Serbia,27,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
AlMFes222001,Alex Baena,MF/FW,es Spain,22,2001,2,27.0,14.0,4.1,0.3,0,,0,2,14.0,5,3.0,0.0,0.0,0.0,0.0,-1.56,0.4,0.2,0.2,0.52,-0.3,Matches
AlDFdk261997,Alexander Bah,DF/MF,dk Denmark,26,1997,4,281.0,70.0,78.1,3.1,3,82.0,1,1,34.0,0,0.75,1.0,3.0,-2.0,-0.64,-0.64,3.9,3.5,0.4,0.12,1.09,Matches
NeFWal241999,Nedim Bajrami,FW/MF,al Albania,24,1999,3,245.0,82.0,90.7,2.7,3,82.0,1,0,,0,0.33,3.0,5.0,-2.0,-0.73,-0.73,1.9,5.4,-3.5,-1.28,-2.2,Matches
JoFWbe202003,Johan Bakayoko,FW/DF,be Belgium,20,2003,2,48.0,24.0,13.3,0.5,0,,0,2,24.0,2,0.5,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.5,0.98,0.81,Matches
JuDFsi291994,Jure Balkovec,DF,si Slovenia,29,1994,2,121.0,61.0,31.0,1.3,1,120.0,1,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,-1.4,-1.41,-0.98,Matches
IvDFal321992,Iván Balliu,DF,al Albania,32,1992,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,0.0,1.0,-1.0,-1.0,-0.5,0.5,1.5,-1.0,-1.02,0.07,Matches
BoDFhu212002,Botond Balogh,DF,hu Hungary,21,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
NiDFro311992,Nicușor Bancu,DF,ro Romania,31,1992,3,270.0,90.0,75.0,3.0,3,90.0,3,0,,0,1.33,4.0,3.0,1.0,0.33,3.33,3.2,3.3,-0.1,-0.04,2.48,Matches
AnMFcz291994,Antonín Barák,MF,cz Czechia,29,1994,3,41.0,14.0,15.2,0.5,1,19.0,0,2,11.0,0,0.33,0.0,1.0,-1.0,-2.2,-1.8,0.5,1.0,-0.4,-0.96,-1.42,Matches
BrFWfr212002,Bradley Barcola,FW/MF,fr France,21,2002,3,103.0,34.0,18.1,1.1,1,60.0,0,2,22.0,3,0.67,1.0,0.0,1.0,0.87,0.87,2.6,0.5,2.1,2.14,1.82,Matches
AbDFtr291994,Abdülkerim Bardakcı,DF,tr Türkiye,29,1994,4,360.0,90.0,80.0,4.0,4,90.0,4,0,,0,1.5,6.0,7.0,-1.0,-0.25,-1.25,5.9,7.3,-1.4,-0.35,-0.11,Matches
NiMFit261997,Nicolò Barella,MF,it Italy,26,1997,4,332.0,83.0,92.2,3.7,4,83.0,2,0,,0,1.0,3.0,5.0,-2.0,-0.54,-0.54,2.7,4.5,-1.8,-0.48,-1.75,Matches
AlDFit241999,Alessandro Bastoni,DF,it Italy,24,1999,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,3.0,5.0,-2.0,-0.5,,3.3,4.7,-1.4,-0.35,,Matches
MaFWhr202003,Martin Baturina,FW,hr Croatia,20,2003,1,7.0,7.0,2.6,0.1,0,,0,1,7.0,2,1.0,0.0,1.0,-1.0,-12.86,-12.17,0.2,0.5,-0.2,-3.18,-3.72,Matches
OlGKde331990,Oliver Baumann,GK,de Germany,33,1990,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
ChMFat241999,Christoph Baumgartner,MF/FW,at Austria,24,1999,4,289.0,72.0,80.3,3.2,3,87.0,2,1,29.0,0,1.5,5.0,5.0,0.0,0.0,-1.27,5.7,4.4,1.3,0.4,1.19,Matches
AlGKtr251998,Altay Bayındır,GK,tr Türkiye,25,1998,1,90.0,90.0,20.0,1.0,1,90.0,1,0,,4,0.0,0.0,3.0,-3.0,-3.0,-3.75,0.7,1.9,-1.1,-1.15,-1.03,Matches
JaDFpl271996,Jan Bednarek,DF,pl Poland,27,1996,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,6.0,-3.0,-1.0,,4.1,5.9,-1.8,-0.6,,Matches
MaFWde212002,Maximilian Beier,FW,de Germany,21,2002,1,26.0,26.0,5.4,0.3,0,,0,1,26.0,4,1.0,1.0,0.0,1.0,3.46,2.27,0.8,0.1,0.7,2.41,1.49,Matches
ViGKsi331990,Vid Belec,GK,si Slovenia,33,1990,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
RaDFit232000,Raoul Bellanova,DF/MF,it Italy,23,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
JuMFen202003,Jude Bellingham,MF/FW,eng England,20,2003,7,670.0,96.0,97.1,7.4,7,96.0,5,0,,0,1.71,8.0,6.0,2.0,0.27,0.27,5.9,6.7,-0.8,-0.11,0.31,Matches
LáMFsk261997,László Bénes,MF,sk Slovakia,26,1997,2,71.0,36.0,18.2,0.8,0,,0,2,36.0,2,0.0,0.0,3.0,-3.0,-3.8,-4.37,1.2,0.9,0.3,0.68,1.11,Matches
BaDFpl311992,Bartosz Bereszyński,DF,pl Poland,31,1992,1,5.0,5.0,1.9,0.1,0,,0,1,5.0,2,0.0,0.0,0.0,0.0,0.0,1.02,0.4,0.0,0.4,6.74,7.47,Matches
StFWnl261997,Steven Bergwijn,FW,nl Netherlands,26,1997,2,90.0,45.0,16.7,1.0,2,45.0,0,0,,4,3.0,1.0,1.0,0.0,0.0,-0.6,0.9,0.8,0.1,0.1,-0.19,Matches
EtGKal341989,Etrit Berisha,GK,al Albania,34,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
MeMFal202003,Medon Berisha,MF,al Albania,20,2003,1,21.0,21.0,7.8,0.2,0,,0,1,21.0,2,0.0,0.0,0.0,0.0,0.0,0.72,0.2,0.2,0.0,-0.01,1.15,Matches
ViDFdk212002,Victor Bernth Kristiansen,DF/MF,dk Denmark,21,2002,4,156.0,39.0,43.3,1.7,2,67.0,0,2,12.0,0,0.75,2.0,2.0,0.0,0.0,0.88,2.0,2.0,0.1,0.03,0.27,Matches
MaMFsk281995,Matúš Bero,MF/DF,sk Slovakia,28,1995,2,41.0,21.0,10.5,0.5,0,,0,2,21.0,2,0.5,0.0,2.0,-2.0,-4.39,-4.65,1.0,0.5,0.5,3.69,4.12,Matches
JuGKnl261998,Justin Bijlow,GK,nl Netherlands,26,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
JaDFsi241999,Jaka Bijol,DF,si Slovenia,24,1999,4,390.0,98.0,100.0,4.3,4,98.0,4,0,,0,1.0,2.0,2.0,0.0,0.0,,3.2,6.1,-2.9,-0.71,-0.71,Matches
DaFWro232000,Daniel Birligea,FW,ro Romania,23,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
VeDFrs251998,Veljko Birmančević,DF,rs Serbia,25,1998,2,26.0,13.0,9.6,0.3,0,,0,2,13.0,1,0.5,1.0,0.0,1.0,3.46,4.2,0.4,0.2,0.2,0.79,1.05,Matches
MiDFsi301993,Miha Blažič,DF,si Slovenia,30,1993,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
DaFWnl331990,Daley Blind,FW,nl Netherlands,33,1990,1,1.0,1.0,0.2,0.0,0,,0,1,1.0,5,3.0,1.0,0.0,1.0,90.0,89.67,0.4,0.0,0.4,33.34,33.14,Matches
BeDFhu241999,Bendegúz Bolla,DF,hu Hungary,24,1999,3,204.0,68.0,75.6,2.3,2,80.0,0,1,45.0,0,1.0,1.0,3.0,-2.0,-0.88,0.48,2.2,2.2,0.0,0.0,0.3,Matches
VaDFua241999,Valerii Bondar,DF,ua Ukraine,24,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
EnDFhu291994,Endre Botka,DF,hu Hungary,29,1994,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,3.0,1.0,0.0,1.0,1.0,3.0,1.2,0.2,1.1,1.05,1.69,Matches
JaFWen271996,Jarrod Bowen,FW,eng England,27,1996,2,37.0,19.0,5.4,0.4,0,,0,2,19.0,5,2.0,0.0,0.0,0.0,0.0,-0.28,0.4,0.6,-0.2,-0.51,-0.4,Matches
RóFWsk241999,Róbert Boženík,FW,sk Slovakia,24,1999,4,208.0,52.0,53.3,2.3,2,64.0,0,2,40.0,0,1.0,2.0,3.0,-1.0,-0.43,-0.43,2.0,3.6,-1.5,-0.77,-0.84,Matches
VoMFua222002,Volodymyr Brazhko,MF,ua Ukraine,22,2002,3,182.0,61.0,67.4,2.0,2,77.0,0,1,29.0,0,1.33,2.0,1.0,1.0,0.49,3.56,2.2,1.4,0.9,0.43,1.09,Matches
DaMFsi251998,David Brekalo,MF,si Slovenia,25,1998,2,2.0,1.0,0.5,0.0,0,,0,2,1.0,2,1.0,0.0,1.0,-1.0,-45.0,-45.23,0.0,0.2,-0.2,-10.78,-10.18,Matches
BrFWnl212002,Brian Brobbey,FW,nl Netherlands,21,2002,1,1.0,1.0,0.2,0.0,0,,0,1,1.0,4,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-0.26,Matches
ArFWal222001,Armando Broja,FW,al Albania,22,2001,2,108.0,54.0,40.0,1.2,1,76.0,0,1,32.0,1,0.0,1.0,2.0,-1.0,-0.83,-0.28,0.7,1.8,-1.1,-0.92,0.26,Matches
MaMFhr311992,Marcelo Brozović,MF,hr Croatia,31,1992,3,225.0,75.0,83.3,2.5,3,75.0,2,0,,0,0.67,1.0,5.0,-4.0,-1.6,-3.6,3.3,3.8,-0.5,-0.19,-3.78,Matches
JaFWdk251998,Jacob Bruun Larsen,FW,dk Denmark,25,1998,1,10.0,10.0,2.8,0.1,0,,0,1,10.0,3,0.0,0.0,0.0,0.0,0.0,0.51,0.1,0.4,-0.3,-2.49,-2.44,Matches
AnteFWhr321991,Ante Budimir,FW,hr Croatia,32,1991,3,122.0,41.0,45.2,1.4,1,55.0,0,2,34.0,0,0.67,3.0,5.0,-2.0,-1.48,-0.87,3.3,2.8,0.5,0.37,-0.13,Matches
