Rk,Player,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,ID
204,Joshua Kimmich,DF,de Germany,28,1995,5.3,363,409,88.8,5675,1565,202,212,95.3,141,160,88.1,15,26,57.7,2,1.4,1.5,0.6,15,28,16,6,39,Matches,JoDFde281995
205,Otar Kiteishvili,MF,ge Georgia,27,1996,1.4,45,53,84.9,632,245,22,26,84.6,18,21,85.7,2,3,66.7,0,0.0,0.0,0.0,1,2,1,0,2,Matches,OtMFge271996
206,Jakub Kiwior,DF,pl Poland,23,2000,3.0,127,153,83.0,1993,970,67,74,90.5,51,59,86.4,5,11,45.5,0,0.2,0.2,-0.2,3,7,0,0,4,Matches,JaDFpl232000
207,László Kleinheisler,MF,hu Hungary,29,1994,0.6,16,17,94.1,258,18,7,8,87.5,7,7,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches,LáMFhu291994
208,Giorgi Kochorashvili,MF,ge Georgia,24,1999,4.0,159,176,90.3,2711,997,73,79,92.4,59,65,90.8,18,20,90.0,1,0.4,0.3,0.6,2,11,2,0,18,Matches,GiMFge241999
209,Orkun Kökçü,MF,tr Türkiye,23,2000,2.5,94,123,76.4,1316,371,56,65,86.2,31,42,73.8,3,9,33.3,2,1.1,0.1,0.9,4,11,2,1,11,Matches,OrMFtr232000
210,Randal Kolo Muani,FW,fr France,25,1998,2.2,27,38,71.1,393,89,19,26,73.1,4,5,80.0,2,2,100.0,0,0.0,0.1,0.0,1,2,0,0,2,Matches,RaFWfr251998
211,Yukhym Konoplia,DF,ua Ukraine,24,1999,0.8,32,42,76.2,544,137,14,17,82.4,17,21,81.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches,YuDFua241999
212,Ezri Konsa,DF,eng England,26,1997,1.0,48,50,96.0,769,131,21,21,100.0,24,25,96.0,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches,EzDFen261997
213,Filip Kostić,DF,rs Serbia,31,1992,0.5,8,15,53.3,129,13,2,3,66.7,4,7,57.1,1,4,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,FiDFrs311992
214,Jules Koundé,DF,fr France,25,1998,6.3,332,392,84.7,5255,1737,187,207,90.3,128,147,87.1,14,25,56.0,0,0.9,0.9,-0.9,11,25,9,3,36,Matches,JuDFfr251998
215,Mateo Kovačić,MF,hr Croatia,29,1994,2.5,156,168,92.9,2341,505,88,91,96.7,60,63,95.2,5,9,55.6,0,0.1,0.7,-0.1,4,19,2,0,11,Matches,MaMFhr291994
216,Matej Kovar,GK,cz Czechia,23,2000,0.4,9,18,50.0,405,342,0,0,,2,2,100.0,7,16,43.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches,MaGKcz232000
217,Andrej Kramarić,FW,hr Croatia,32,1991,2.7,71,89,79.8,998,114,50,55,90.9,17,24,70.8,3,7,42.9,0,0.2,0.2,-0.2,6,1,3,1,7,Matches,AnFWhr321991
218,Ladislav Krejčí,DF,cz Czechia,24,1999,3.0,122,143,85.3,2356,698,40,45,88.9,71,79,89.9,11,19,57.9,0,0.0,0.1,0.0,2,14,2,0,19,Matches,LaDFcz241999
219,Toni Kroos,MF,de Germany,34,1990,5.2,498,551,90.4,8494,3543,243,249,97.6,189,202,93.6,52,82,63.4,0,0.8,1.2,-0.8,15,74,6,1,67,Matches,ToMFde341990
220,Jan Kuchta,FW,cz Czechia,27,1997,1.1,11,15,73.3,172,53,5,8,62.5,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,3,Matches,JaFWcz271997
221,Juraj Kucka,MF,sk Slovakia,36,1987,3.9,93,123,75.6,1168,262,63,70,90.0,21,28,75.0,3,12,25.0,1,0.5,0.3,0.5,4,6,4,2,6,Matches,JuMFsk361987
222,Jasmin Kurtić,FW,si Slovenia,35,1989,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,JaFWsi351989
223,Khvicha Kvaratskhelia,FW,ge Georgia,22,2001,3.8,68,86,79.1,903,221,44,47,93.6,19,20,95.0,2,14,14.3,0,0.6,0.5,-0.6,8,3,5,1,10,Matches,KhFWge222001
224,Nika Kvekveskiri,MF,ge Georgia,31,1992,0.1,13,15,86.7,165,52,9,10,90.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,NiMFge311992
225,Giorgi Kvilitaia,FW,ge Georgia,30,1993,0.0,2,3,66.7,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,GiFWge301993
226,Saba Kvirkvelia,DF,ge Georgia,31,1992,2.0,52,61,85.2,962,375,21,23,91.3,27,29,93.1,4,8,50.0,0,0.0,0.0,0.0,0,3,0,0,5,Matches,SaDFge311992
227,Qazim Laçi,MF/FW,al Albania,28,1996,1.8,36,52,69.2,557,93,20,26,76.9,8,10,80.0,6,11,54.5,0,0.1,0.0,-0.1,3,2,2,1,4,Matches,QaMFal281996
228,Konrad Laimer,MF/FW,at Austria,26,1997,3.0,107,126,84.9,1690,502,52,57,91.2,48,53,90.6,3,3,100.0,0,0.0,0.1,0.0,1,14,1,0,17,Matches,KoMFat261997
229,Ádám Lang,DF,hu Hungary,31,1993,0.5,13,19,68.4,208,121,7,9,77.8,5,8,62.5,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches,ÁdDFhu311993
230,Aymeric Laporte,DF,es Spain,29,1994,5.8,446,483,92.3,7994,2383,182,188,96.8,230,243,94.7,32,45,71.1,0,0.1,0.2,-0.1,2,56,3,1,46,Matches,AyDFes291994
231,Robin Le Normand,DF,es Spain,27,1996,4.9,320,344,93.0,5848,1705,102,107,95.3,203,210,96.7,14,25,56.0,0,0.0,0.1,0.0,1,31,0,0,19,Matches,RoDFes271996
232,Rafael Leão,FW,pt Portugal,24,1999,3.2,85,112,75.9,1257,312,52,63,82.5,31,40,77.5,2,4,50.0,0,0.5,0.4,-0.5,5,9,6,3,13,Matches,RaFWpt241999
233,Robert Lewandowski,FW,pl Poland,35,1988,1.3,19,23,82.6,276,46,12,12,100.0,4,6,66.7,2,4,50.0,0,0.1,0.1,-0.1,1,0,1,0,2,Matches,RoFWpl351988
234,Philipp Lienhart,DF,at Austria,27,1996,2.4,113,125,90.4,2347,693,28,32,87.5,59,62,95.2,20,23,87.0,0,0.0,0.0,0.0,0,14,0,0,8,Matches,PhDFat271996
235,Ondřej Lingr,MF/FW,cz Czechia,25,1998,0.9,21,27,77.8,265,62,13,13,100.0,6,8,75.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches,OnMFcz251998
236,Dominik Livaković,GK,hr Croatia,29,1995,3.0,69,93,74.2,1660,1191,24,24,100.0,30,30,100.0,15,39,38.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches,DoGKhr291995
237,Stanislav Lobotka,MF,sk Slovakia,29,1994,4.3,228,243,93.8,3561,1007,132,140,94.3,77,82,93.9,15,16,93.8,0,0.1,0.1,-0.1,4,22,1,0,17,Matches,StMFsk291994
238,Saba Lobzhanidze,FW,ge Georgia,29,1994,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,SaFWge291994
239,Luka Lochoshvili,DF/MF,ge Georgia,25,1998,1.9,41,57,71.9,604,203,23,26,88.5,15,20,75.0,1,6,16.7,0,0.0,0.0,0.0,0,2,0,0,1,Matches,LuDFge251998
240,Fermin López,MF,es Spain,20,2003,0.3,8,10,80.0,148,61,5,6,83.3,1,1,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,FeMFes202003
241,Romelu Lukaku,FW,be Belgium,30,1993,4.0,38,57,66.7,425,88,27,36,75.0,4,8,50.0,3,5,60.0,1,0.2,0.3,0.8,5,0,2,0,3,Matches,RoFWbe301993
242,Dodi Lukebakio,FW/DF,be Belgium,26,1997,0.7,24,30,80.0,329,48,15,18,83.3,8,9,88.9,0,1,0.0,0,0.1,0.1,-0.1,2,0,0,0,1,Matches,DoFWbe261997
243,Saša Lukić,MF,rs Serbia,27,1996,2.3,142,150,94.7,2326,438,63,65,96.9,70,73,95.9,6,9,66.7,0,0.0,0.1,0.0,0,7,1,0,5,Matches,SaMFrs271996
244,Andriy Lunin,GK,ua Ukraine,24,1999,1.0,23,24,95.8,402,311,8,8,100.0,14,15,93.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,AnGKua241999
245,Mike Maignan,GK,fr France,28,1995,6.3,136,167,81.4,3153,1905,22,22,100.0,87,87,100.0,27,56,48.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches,MiGKfr281995
246,Kobbie Mainoo,MF,eng England,18,2005,4.1,183,203,90.1,2624,412,112,116,96.6,52,61,85.2,9,11,81.8,0,0.0,0.5,0.0,3,15,4,0,13,Matches,KoMFen182005
247,Lovro Majer,FW/MF,hr Croatia,26,1998,1.6,92,101,91.1,1338,288,57,59,96.6,25,27,92.6,6,6,100.0,0,0.3,0.4,-0.3,3,4,4,1,11,Matches,LoFWhr261998
248,Donyell Malen,FW,nl Netherlands,25,1999,2.1,40,56,71.4,540,115,24,28,85.7,9,14,64.3,3,4,75.0,0,0.2,0.2,-0.2,4,3,3,1,7,Matches,DoFWnl251999
249,Ruslan Malinovskyi,MF,ua Ukraine,30,1993,0.4,24,28,85.7,491,155,10,11,90.9,10,10,100.0,4,7,57.1,0,0.3,0.1,-0.3,2,2,0,0,4,Matches,RuMFua301993
250,Giorgi Mamardashvili,GK,ge Georgia,23,2000,4.0,66,124,53.2,2102,1566,13,13,100.0,26,26,100.0,27,85,31.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches,GiGKge232000
251,Dennis Man,MF,ro Romania,25,1998,3.0,51,83,61.4,744,195,36,47,76.6,12,20,60.0,3,8,37.5,2,1.0,0.7,1.0,4,2,3,1,5,Matches,DeMFro251998
252,Rey Manaj,FW,al Albania,26,1997,1.7,17,28,60.7,220,9,12,19,63.2,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ReFWal261997
253,Gianluca Mancini,DF,it Italy,27,1996,1.0,60,66,90.9,904,270,32,33,97.0,25,28,89.3,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,0,Matches,GiDFit271996
254,Orel Mangala,MF,be Belgium,25,1998,1.5,68,70,97.1,973,193,41,41,100.0,24,25,96.0,1,1,100.0,0,0.2,0.1,-0.2,2,3,2,0,6,Matches,OrMFbe251998
255,Marius Marin,MF,ro Romania,25,1998,3.4,80,99,80.8,1310,415,37,44,84.1,35,38,92.1,5,13,38.5,0,0.2,0.3,-0.2,1,8,1,1,6,Matches,MaMFro251998
256,Răzvan Marin,MF,ro Romania,27,1996,3.9,86,109,78.9,1480,497,40,46,87.0,36,41,87.8,7,17,41.2,0,0.1,0.4,-0.1,2,10,1,0,11,Matches,RăMFro271996
257,Ádám Martin,FW/DF,hu Hungary,29,1994,0.5,10,17,58.8,123,8,7,9,77.8,3,7,42.9,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches,ÁdFWhu291994
258,Mykola Matviyenko,DF,ua Ukraine,27,1996,3.0,212,231,91.8,4139,1466,70,73,95.9,120,121,99.2,22,32,68.8,0,0.2,0.3,-0.2,4,18,0,0,11,Matches,MyDFua271996
259,Kylian Mbappé,FW,fr France,25,1998,5.2,158,182,86.8,2456,531,96,104,92.3,45,52,86.5,14,15,93.3,1,0.7,1.0,0.3,3,13,10,1,27,Matches,KyFWfr251998
260,John McGinn,MF/FW,sct Scotland,29,1994,2.6,28,45,62.2,354,68,14,17,82.4,10,15,66.7,0,5,0.0,0,0.0,0.1,0.0,0,1,1,0,4,Matches,JoMFsc291994
261,Callum McGregor,MF,sct Scotland,30,1993,2.7,108,119,90.8,1698,233,49,55,89.1,51,53,96.2,3,3,100.0,1,0.1,0.1,0.9,2,5,1,0,5,Matches,CaMFsc301993
262,Scott McKenna,DF,sct Scotland,27,1996,1.5,75,93,80.6,1261,290,36,40,90.0,36,42,85.7,2,6,33.3,0,0.0,0.1,0.0,0,2,0,0,1,Matches,ScDFsc271996
263,Kenny McLean,MF,sct Scotland,32,1992,0.5,19,26,73.1,325,84,7,10,70.0,9,12,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,1,0,2,Matches,KeMFsc321992
264,Scott McTominay,MF,sct Scotland,27,1996,3.0,42,62,67.7,747,243,21,31,67.7,16,20,80.0,5,8,62.5,0,0.1,0.4,-0.1,2,2,1,0,4,Matches,ScMFsc271996
265,Anzor Mekvabishvili,MF,ge Georgia,22,2001,2.1,76,91,83.5,1298,425,36,41,87.8,32,34,94.1,5,9,55.6,0,0.0,0.1,0.0,0,6,0,0,8,Matches,AnMFge222001
266,Memphis,FW/MF,nl Netherlands,29,1994,5.1,113,163,69.3,1811,572,58,67,86.6,33,44,75.0,16,32,50.0,1,1.2,1.2,-0.2,11,12,5,1,13,Matches,MeFWnl291994
267,Nuno Mendes,DF,pt Portugal,21,2002,4.7,322,365,88.2,5173,1597,173,187,92.5,133,144,92.4,16,31,51.6,0,0.0,0.1,0.0,3,36,2,1,31,Matches,NuDFpt212002
268,Mikel Merino,MF/FW,es Spain,27,1996,2.0,107,131,81.7,1473,396,67,76,88.2,34,38,89.5,3,6,50.0,0,0.4,0.4,-0.4,4,13,2,0,17,Matches,MiMFes271996
269,Valentin Mihaila,MF,ro Romania,23,2000,1.3,21,27,77.8,337,85,14,17,82.4,3,5,60.0,4,5,80.0,0,0.0,0.0,0.0,0,2,1,0,2,Matches,VaMFro232000
270,Srđan Mijailović,DF,rs Serbia,30,1993,0.8,14,25,56.0,291,48,4,6,66.7,8,13,61.5,2,5,40.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches,SrDFrs301993
271,Georges Mikautadze,FW,ge Georgia,23,2000,3.8,55,70,78.6,821,198,33,36,91.7,11,14,78.6,6,10,60.0,1,0.5,0.1,0.5,5,6,2,1,7,Matches,GeFWge232000
272,Nikola Milenković,DF,rs Serbia,26,1997,3.0,212,227,93.4,3843,1318,79,82,96.3,117,121,96.7,15,23,65.2,0,0.0,0.0,0.0,1,5,0,0,9,Matches,NiDFrs261997
273,Sergej Milinković-Savić,MF,rs Serbia,28,1995,1.3,63,76,82.9,1111,251,26,32,81.3,24,28,85.7,10,11,90.9,0,0.1,0.2,-0.1,2,6,3,2,7,Matches,SeMFrs281995
274,Mario Mitaj,DF,al Albania,20,2003,3.0,127,147,86.4,1744,851,76,84,90.5,46,51,90.2,4,7,57.1,0,0.0,0.0,0.0,0,3,1,0,6,Matches,MaDFal202003
275,Aleksandar Mitrović,FW,rs Serbia,29,1994,2.7,38,53,71.7,471,40,26,32,81.3,9,13,69.2,1,2,50.0,0,0.0,0.0,0.0,0,3,1,0,2,Matches,AlFWrs291994
276,Maximilian Mittelstädt,DF,de Germany,26,1997,3.4,182,217,83.9,2757,686,110,118,93.2,56,67,83.6,12,21,57.1,1,0.4,0.7,0.6,4,9,8,6,10,Matches,MaDFde261997
277,Filip Mladenović,DF,rs Serbia,32,1991,1.2,44,61,72.1,551,115,27,29,93.1,12,18,66.7,1,5,20.0,0,0.0,0.0,0.0,1,1,0,0,2,Matches,FiDFrs321991
278,Jan Mlakar,MF,si Slovenia,25,1998,3.3,37,62,59.7,572,139,22,30,73.3,14,23,60.9,1,7,14.3,0,0.0,0.1,0.0,1,1,2,1,6,Matches,JaMFsi251998
279,Jakub Moder,MF,pl Poland,24,1999,2.0,94,119,79.0,1306,433,55,60,91.7,35,45,77.8,2,7,28.6,0,0.0,0.1,0.0,0,5,1,0,8,Matches,JaMFpl241999
280,Luka Modrić,MF,hr Croatia,38,1985,2.6,190,221,86.0,2855,812,109,113,96.5,69,80,86.3,7,17,41.2,0,0.6,0.4,-0.6,3,34,3,0,21,Matches,LuMFhr381985
281,Vasile Mogos,DF,ro Romania,31,1992,0.4,6,6,100.0,79,50,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,VaDFro311992
282,Álvaro Morata,FW,es Spain,31,1992,5.0,78,110,70.9,1027,172,54,71,76.1,16,22,72.7,3,5,60.0,1,0.5,0.5,0.5,5,7,3,1,6,Matches,ÁlFWes311992
283,Lewis Morgan,DF,sct Scotland,27,1996,0.0,1,2,50.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,LeDFsc271996
